Type,Size,Trigger,Design,Has_CTA,Position,Content_Type,Category
Dialog,Medium,Click,Clean,No,Full Page,Offer,Well-Defined
Tooltip,Thin,Hover,Intrusive,Yes,Top Right,Help,Ambiguous
Floating Box,Thin,Hover,Basic,Yes,Top Right,Help,Ambiguous
Fullscreen,Medium,Scroll,Clean,Yes,Full Page,Ad,Well-Defined
Floating Box,Small,Timer,Flat,Yes,Top Right,Ad,Ambiguous
Slide-in,Small,Timer,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Dialog,Medium,On Load,Clean,Yes,Bottom Left,Newsletter,Ambiguous
Notification Bar,Medium,Timer,Flat,Yes,Top Left,Offer,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top Right,Help,Ambiguous
Slide-in,Small,Timer,Bold,No,Bottom Left,Offer,Less Well-Defined
Dialog,Small,Hover,Bold,No,Bottom,Newsletter,Less Well-Defined
Slide-in,Small,On Load,Clean,No,Bottom,Offer,Less Well-Defined
Floating Box,Thin,Page Load,Intrusive,No,Top Right,Help,Ambiguous
Dialog,Small,On Load,Clean,Yes,Bottom,Newsletter,Less Well-Defined
Slide-in,Medium,Timer,Simple,No,Top Left,Offer,Less Well-Defined
Tooltip,Small,Page Load,Intrusive,Yes,Top Right,Reminder,Ambiguous
Dialog,Medium,On Load,Bold,Yes,Bottom,Help,Less Well-Defined
Notification Bar,Small,On Load,Bold,No,Top Left,Newsletter,Less Well-Defined
Dialog,Medium,Hover,Clean,Yes,Bottom,Discount,Less Well-Defined
Banner,Medium,Hover,Simple,No,Bottom,Offer,Less Well-Defined
Fullscreen,Large,Exit Intent,Clean,Yes,Bottom Right,Alert,Well-Defined
Slide-in,Medium,Timer,Clean,No,Top Left,Discount,Less Well-Defined
Dialog,Medium,Click,Soft,No,Full Page,Ad,Well-Defined
Dialog,Medium,Click,Modern,Yes,Center,Ad,Well-Defined
Modal,Large,Click,Clean,No,Bottom Right,Recommendation,Well-Defined
Exit Popup,Thin,Hover,Basic,Yes,Top,Reminder,Ambiguous
Tooltip,Thin,Timer,Basic,Yes,Top,Ad,Ambiguous
Modal,Medium,Scroll,Bold,Yes,Full Page,Ad,Well-Defined
Slide-in,Medium,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Dialog,Medium,Exit Intent,Clean,Yes,Full Page,Ad,Well-Defined
Banner,Medium,Scroll,Soft,No,Full Page,Recommendation,Ambiguous
Banner,Medium,Timer,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Tooltip,Small,Hover,Intrusive,Yes,Top,Reminder,Ambiguous
Notification Bar,Small,On Load,Bold,Yes,Top Left,Newsletter,Less Well-Defined
Dialog,Medium,Timer,Simple,No,Top Left,Discount,Less Well-Defined
Tooltip,Thin,Timer,Flat,Yes,Center,Ad,Ambiguous
Notification Bar,Small,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Banner,Large,Click,Clean,No,Full Page,Recommendation,Well-Defined
Dialog,Large,Click,Modern,No,Bottom Right,Offer,Well-Defined
Fullscreen,Large,Scroll,Bold,No,Center,Alert,Ambiguous
Tooltip,Thin,Timer,Intrusive,Yes,Top Right,Reminder,Less Well-Defined
Slide-in,Thin,Hover,Basic,Yes,Top Right,Reminder,Ambiguous
Modal,Large,Exit Intent,Soft,Yes,Full Page,Alert,Well-Defined
Floating Box,Medium,Hover,Basic,Yes,Center,Reminder,Ambiguous
Banner,Medium,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Hover,Clean,No,Top Left,Discount,Less Well-Defined
Slide-in,Small,Hover,Flat,No,Top Left,Help,Less Well-Defined
Notification Bar,Medium,Timer,Simple,No,Bottom Left,Offer,Less Well-Defined
Floating Box,Thin,Page Load,Basic,No,Top Right,Survey,Ambiguous
Fullscreen,Large,Scroll,Clean,Yes,Full Page,Ad,Well-Defined
Dialog,Medium,Click,Clean,No,Center,Ad,Well-Defined
Slide-in,Small,Page Load,Intrusive,Yes,Center,Survey,Ambiguous
Exit Popup,Small,Timer,Aggressive,Yes,Top,Reminder,Ambiguous
Slide-in,Medium,On Load,Flat,No,Top Left,Offer,Less Well-Defined
Tooltip,Thin,Page Load,Intrusive,No,Top Right,Help,Ambiguous
Modal,Large,Click,Bold,No,Bottom Right,Ad,Well-Defined
Exit Popup,Small,Page Load,Intrusive,No,Top,Help,Ambiguous
Modal,Large,Exit Intent,Clean,Yes,Bottom Right,Ad,Well-Defined
Slide-in,Small,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Modal,Medium,Exit Intent,Clean,Yes,Center,Recommendation,Well-Defined
Tooltip,Small,Hover,Flat,No,Center,Help,Ambiguous
Dialog,Medium,Exit Intent,Bold,Yes,Top,Ad,Well-Defined
Exit Popup,Medium,Page Load,Flat,Yes,Center,Ad,Ambiguous
Banner,Small,On Load,Bold,Yes,Bottom,Offer,Less Well-Defined
Notification Bar,Medium,Timer,Flat,No,Bottom Left,Help,Less Well-Defined
Fullscreen,Medium,Exit Intent,Modern,Yes,Full Page,Ad,Well-Defined
Banner,Small,Timer,Simple,Yes,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Medium,Hover,Simple,Yes,Bottom Left,Offer,Well-Defined
Tooltip,Thin,Page Load,Basic,No,Top,Help,Ambiguous
Exit Popup,Thin,Hover,Intrusive,Yes,Top,Ad,Ambiguous
Banner,Large,Click,Bold,Yes,Center,Offer,Well-Defined
Exit Popup,Medium,Page Load,Basic,Yes,Center,Help,Ambiguous
Slide-in,Medium,On Load,Clean,No,Top Left,Offer,Less Well-Defined
Banner,Small,Hover,Clean,Yes,Top Left,Discount,Less Well-Defined
Dialog,Medium,Scroll,Clean,No,Full Page,Alert,Well-Defined
Banner,Small,Timer,Flat,Yes,Top Left,Discount,Less Well-Defined
Dialog,Medium,Click,Bold,No,Full Page,Recommendation,Well-Defined
Dialog,Medium,On Load,Clean,Yes,Bottom Left,Discount,Less Well-Defined
Notification Bar,Small,Timer,Flat,No,Top Left,Help,Less Well-Defined
Slide-in,Small,Timer,Simple,Yes,Bottom,Help,Less Well-Defined
Exit Popup,Thin,Page Load,Intrusive,No,Top,Survey,Ambiguous
Tooltip,Small,Hover,Aggressive,Yes,Top Right,Survey,Ambiguous
Tooltip,Small,Page Load,Aggressive,Yes,Top Right,Reminder,Ambiguous
Tooltip,Small,Page Load,Basic,No,Top,Reminder,Ambiguous
Banner,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Fullscreen,Medium,Click,Clean,No,Full Page,Recommendation,Well-Defined
Dialog,Medium,Timer,Flat,Yes,Bottom Left,Help,Less Well-Defined
Fullscreen,Medium,Click,Clean,No,Full Page,Alert,Well-Defined
Dialog,Medium,Scroll,Clean,No,Bottom Right,Recommendation,Well-Defined
Banner,Large,Click,Clean,No,Full Page,Ad,Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top,Survey,Ambiguous
Fullscreen,Large,Exit Intent,Soft,No,Full Page,Recommendation,Well-Defined
Dialog,Large,Click,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Dialog,Medium,Scroll,Modern,Yes,Top,Alert,Well-Defined
Exit Popup,Small,Hover,Intrusive,Yes,Center,Reminder,Ambiguous
Floating Box,Thin,Page Load,Intrusive,Yes,Top Right,Reminder,Ambiguous
Banner,Medium,Hover,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Floating Box,Thin,Page Load,Basic,Yes,Top,Survey,Ambiguous
Dialog,Medium,Scroll,Clean,No,Top,Ad,Well-Defined
Slide-in,Small,Page Load,Basic,No,Center,Reminder,Ambiguous
Tooltip,Small,Hover,Flat,No,Top Right,Survey,Ambiguous
Slide-in,Small,Hover,Clean,Yes,Bottom Left,Discount,Less Well-Defined
Tooltip,Thin,Timer,Flat,Yes,Top,Help,Ambiguous
Exit Popup,Thin,Hover,Intrusive,Yes,Top,Reminder,Ambiguous
Slide-in,Small,Timer,Clean,Yes,Bottom,Offer,Less Well-Defined
Modal,Large,On Load,Clean,Yes,Top,Offer,Well-Defined
Tooltip,Small,Hover,Intrusive,No,Top,Survey,Ambiguous
Modal,Large,Click,Soft,Yes,Center,Alert,Well-Defined
Floating Box,Thin,Page Load,Aggressive,Yes,Top,Help,Ambiguous
Fullscreen,Large,Scroll,Modern,Yes,Center,Ad,Well-Defined
Slide-in,Thin,Timer,Flat,Yes,Top,Ad,Ambiguous
Notification Bar,Medium,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Slide-in,Thin,Page Load,Intrusive,Yes,Center,Help,Ambiguous
Dialog,Large,On Load,Bold,Yes,Bottom Right,Alert,Well-Defined
Dialog,Medium,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Banner,Small,Hover,Flat,No,Bottom,Help,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,No,Top,Reminder,Ambiguous
Floating Box,Thin,Hover,Aggressive,Yes,Top Right,Survey,Ambiguous
Banner,Small,Timer,Flat,No,Top Left,Offer,Less Well-Defined
Modal,Medium,Exit Intent,Soft,No,Full Page,Ad,Well-Defined
Fullscreen,Large,Scroll,Bold,No,Top,Offer,Ambiguous
Slide-in,Small,Hover,Bold,No,Bottom Left,Help,Less Well-Defined
Slide-in,Medium,Timer,Aggressive,No,Center,Reminder,Ambiguous
Dialog,Medium,Exit Intent,Modern,Yes,Bottom Right,Ad,Well-Defined
Dialog,Large,Scroll,Clean,No,Center,Ad,Well-Defined
Notification Bar,Medium,Timer,Bold,Yes,Top Left,Offer,Less Well-Defined
Fullscreen,Large,Click,Soft,Yes,Center,Recommendation,Well-Defined
Dialog,Large,Exit Intent,Modern,Yes,Center,Recommendation,Well-Defined
Exit Popup,Medium,Hover,Basic,Yes,Top,Ad,Ambiguous
Modal,Large,Scroll,Clean,No,Bottom Right,Alert,Well-Defined
Tooltip,Thin,Page Load,Aggressive,No,Top Right,Reminder,Ambiguous
Dialog,Medium,Hover,Bold,Yes,Bottom,Newsletter,Less Well-Defined
Floating Box,Medium,Page Load,Flat,Yes,Center,Ad,Well-Defined
Dialog,Medium,On Load,Flat,No,Bottom,Help,Well-Defined
Banner,Medium,On Load,Clean,Yes,Bottom,Offer,Less Well-Defined
Exit Popup,Medium,Page Load,Aggressive,Yes,Top,Ad,Ambiguous
Banner,Small,On Load,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Dialog,Small,Timer,Clean,Yes,Bottom,Help,Less Well-Defined
Banner,Medium,On Load,Bold,No,Bottom,Offer,Less Well-Defined
Dialog,Medium,Scroll,Bold,Yes,Top,Recommendation,Less Well-Defined
Fullscreen,Large,Exit Intent,Soft,No,Top,Recommendation,Well-Defined
Slide-in,Thin,Hover,Intrusive,Yes,Center,Survey,Well-Defined
Floating Box,Small,Hover,Aggressive,No,Top Right,Survey,Ambiguous
Dialog,Small,On Load,Flat,No,Bottom Left,Discount,Less Well-Defined
Exit Popup,Thin,Page Load,Intrusive,No,Top,Survey,Ambiguous
Banner,Large,Exit Intent,Soft,Yes,Full Page,Alert,Well-Defined
Floating Box,Small,Timer,Flat,Yes,Center,Survey,Ambiguous
Banner,Small,Timer,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Small,Hover,Flat,Yes,Top Right,Reminder,Ambiguous
Dialog,Large,Click,Modern,No,Full Page,Ad,Well-Defined
Slide-in,Thin,Page Load,Intrusive,Yes,Top Right,Help,Ambiguous
Modal,Medium,Exit Intent,Clean,No,Full Page,Alert,Well-Defined
Exit Popup,Thin,Hover,Aggressive,No,Top,Survey,Ambiguous
Notification Bar,Small,On Load,Simple,No,Top Left,Offer,Less Well-Defined
Modal,Large,Exit Intent,Soft,Yes,Full Page,Alert,Well-Defined
Fullscreen,Medium,Exit Intent,Clean,No,Top,Offer,Well-Defined
Exit Popup,Small,Hover,Basic,No,Top,Reminder,Ambiguous
Tooltip,Small,Page Load,Basic,No,Top,Ad,Ambiguous
Exit Popup,Medium,Page Load,Aggressive,Yes,Center,Help,Ambiguous
Slide-in,Small,Hover,Basic,No,Top,Reminder,Ambiguous
Exit Popup,Small,Hover,Basic,No,Top,Help,Ambiguous
Slide-in,Thin,Hover,Aggressive,No,Top Right,Reminder,Ambiguous
Dialog,Medium,Click,Modern,Yes,Full Page,Alert,Well-Defined
Tooltip,Thin,Page Load,Basic,Yes,Top Right,Reminder,Ambiguous
Banner,Large,On Load,Modern,No,Bottom Right,Recommendation,Well-Defined
Tooltip,Small,Timer,Intrusive,Yes,Top Right,Survey,Ambiguous
Tooltip,Thin,Page Load,Flat,No,Top,Survey,Ambiguous
Floating Box,Thin,Timer,Intrusive,Yes,Center,Survey,Ambiguous
Notification Bar,Medium,On Load,Simple,Yes,Top Left,Discount,Less Well-Defined
Banner,Medium,On Load,Flat,No,Bottom Left,Discount,Less Well-Defined
Floating Box,Small,Hover,Basic,Yes,Top,Survey,Ambiguous
Notification Bar,Small,Timer,Simple,Yes,Top Left,Offer,Less Well-Defined
Slide-in,Small,Timer,Intrusive,Yes,Center,Help,Less Well-Defined
Dialog,Large,Click,Modern,No,Center,Recommendation,Well-Defined
Slide-in,Medium,Timer,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Banner,Large,Scroll,Bold,No,Center,Alert,Well-Defined
Dialog,Medium,On Load,Clean,No,Bottom,Newsletter,Less Well-Defined
Slide-in,Medium,Page Load,Aggressive,No,Center,Ad,Ambiguous
Exit Popup,Thin,Hover,Flat,No,Center,Help,Ambiguous
Slide-in,Thin,Hover,Aggressive,Yes,Center,Reminder,Ambiguous
Banner,Large,Scroll,Bold,Yes,Center,Recommendation,Well-Defined
Exit Popup,Small,Hover,Basic,Yes,Top Right,Help,Ambiguous
Notification Bar,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Dialog,Small,On Load,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Dialog,Large,Click,Modern,No,Center,Ad,Well-Defined
Slide-in,Medium,Timer,Clean,No,Bottom,Discount,Less Well-Defined
Floating Box,Thin,Timer,Intrusive,No,Top Right,Help,Ambiguous
Exit Popup,Small,Timer,Flat,Yes,Top,Survey,Ambiguous
Exit Popup,Thin,Timer,Flat,No,Top Right,Ad,Well-Defined
Dialog,Large,Exit Intent,Soft,No,Full Page,Offer,Well-Defined
Floating Box,Thin,Page Load,Aggressive,No,Top Right,Survey,Ambiguous
Dialog,Medium,Exit Intent,Modern,Yes,Bottom Right,Alert,Well-Defined
Notification Bar,Medium,On Load,Flat,No,Top Left,Offer,Less Well-Defined
Dialog,Large,Scroll,Bold,Yes,Full Page,Ad,Well-Defined
Slide-in,Medium,Timer,Aggressive,No,Top,Help,Ambiguous
Notification Bar,Medium,Hover,Clean,No,Top Left,Help,Less Well-Defined
Slide-in,Small,Hover,Flat,No,Top,Ad,Ambiguous
Tooltip,Medium,Timer,Intrusive,No,Top Right,Ad,Ambiguous
Notification Bar,Medium,Hover,Flat,Yes,Bottom,Newsletter,Less Well-Defined
Fullscreen,Large,Exit Intent,Clean,Yes,Top,Ad,Well-Defined
Tooltip,Small,Page Load,Aggressive,Yes,Top,Help,Ambiguous
Tooltip,Small,Hover,Intrusive,Yes,Top Right,Survey,Ambiguous
Fullscreen,Medium,Scroll,Soft,Yes,Bottom Right,Alert,Well-Defined
Floating Box,Thin,Page Load,Aggressive,Yes,Top,Survey,Ambiguous
Fullscreen,Medium,Scroll,Soft,Yes,Top,Offer,Well-Defined
Dialog,Medium,Timer,Clean,No,Bottom Left,Offer,Less Well-Defined
Floating Box,Medium,Hover,Basic,Yes,Center,Reminder,Ambiguous
Modal,Medium,Exit Intent,Soft,Yes,Top,Offer,Well-Defined
Notification Bar,Medium,Hover,Bold,Yes,Top Left,Help,Ambiguous
Dialog,Medium,Click,Bold,Yes,Top,Offer,Well-Defined
Dialog,Medium,Scroll,Clean,Yes,Bottom Right,Ad,Well-Defined
Dialog,Large,Click,Soft,Yes,Top,Alert,Well-Defined
Banner,Small,Hover,Bold,Yes,Top Left,Help,Less Well-Defined
Notification Bar,Small,On Load,Clean,No,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Thin,Page Load,Intrusive,No,Center,Ad,Ambiguous
Dialog,Medium,Scroll,Modern,No,Center,Recommendation,Well-Defined
Dialog,Medium,Exit Intent,Soft,No,Full Page,Alert,Well-Defined
Banner,Medium,Click,Clean,No,Bottom Right,Offer,Well-Defined
Floating Box,Thin,Hover,Aggressive,Yes,Top Right,Help,Ambiguous
Notification Bar,Small,On Load,Bold,No,Top Left,Newsletter,Less Well-Defined
Banner,Large,Scroll,Bold,Yes,Full Page,Recommendation,Well-Defined
Floating Box,Thin,Page Load,Aggressive,No,Top,Help,Ambiguous
Tooltip,Small,Page Load,Basic,No,Top Right,Survey,Ambiguous
Slide-in,Medium,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Banner,Medium,On Load,Clean,No,Bottom,Discount,Less Well-Defined
Notification Bar,Small,Hover,Bold,No,Bottom,Offer,Less Well-Defined
Banner,Medium,Exit Intent,Clean,Yes,Top,Offer,Well-Defined
Notification Bar,Medium,On Load,Simple,No,Top Left,Newsletter,Less Well-Defined
Notification Bar,Medium,On Load,Clean,Yes,Top Left,Help,Less Well-Defined
Notification Bar,Medium,Timer,Simple,Yes,Top Left,Offer,Ambiguous
Dialog,Large,Click,Bold,No,Bottom Right,Recommendation,Well-Defined
Dialog,Large,Scroll,Soft,Yes,Full Page,Recommendation,Well-Defined
Banner,Large,Exit Intent,Bold,Yes,Top,Offer,Less Well-Defined
Slide-in,Medium,Hover,Flat,Yes,Center,Ad,Ambiguous
Floating Box,Small,Hover,Flat,Yes,Top Right,Ad,Ambiguous
Slide-in,Small,Timer,Bold,No,Bottom Left,Offer,Less Well-Defined
Notification Bar,Small,On Load,Simple,Yes,Top Left,Help,Less Well-Defined
Banner,Medium,Exit Intent,Clean,No,Full Page,Offer,Well-Defined
Slide-in,Small,Page Load,Intrusive,Yes,Center,Ad,Ambiguous
Modal,Large,Exit Intent,Clean,Yes,Bottom Right,Ad,Well-Defined
Banner,Large,On Load,Modern,Yes,Bottom Right,Ad,Well-Defined
Dialog,Medium,Timer,Bold,Yes,Bottom Left,Help,Less Well-Defined
Fullscreen,Medium,Click,Clean,Yes,Top,Alert,Well-Defined
Fullscreen,Large,Scroll,Modern,No,Center,Ad,Well-Defined
Dialog,Medium,Scroll,Bold,Yes,Center,Alert,Well-Defined
Banner,Large,Scroll,Clean,No,Full Page,Alert,Well-Defined
Exit Popup,Medium,Page Load,Flat,No,Center,Help,Less Well-Defined
Notification Bar,Small,Hover,Clean,No,Bottom Left,Help,Less Well-Defined
Fullscreen,Medium,Exit Intent,Soft,No,Full Page,Alert,Well-Defined
Notification Bar,Small,On Load,Flat,Yes,Top Left,Newsletter,Less Well-Defined
Slide-in,Medium,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Exit Popup,Small,Hover,Aggressive,No,Center,Reminder,Ambiguous
Dialog,Medium,On Load,Clean,Yes,Bottom Left,Help,Ambiguous
Floating Box,Small,Page Load,Basic,No,Top Right,Help,Ambiguous
Notification Bar,Medium,On Load,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Dialog,Large,Scroll,Soft,Yes,Bottom Right,Ad,Well-Defined
Notification Bar,Small,On Load,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Dialog,Large,Click,Clean,No,Top,Ad,Well-Defined
Floating Box,Small,Hover,Flat,Yes,Top,Survey,Ambiguous
Slide-in,Medium,Timer,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Banner,Medium,On Load,Bold,No,Full Page,Recommendation,Well-Defined
Exit Popup,Small,Hover,Basic,Yes,Top,Help,Ambiguous
Dialog,Medium,Hover,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Medium,Timer,Flat,No,Top Left,Offer,Less Well-Defined
Fullscreen,Medium,Click,Clean,No,Top,Alert,Well-Defined
Floating Box,Small,Hover,Intrusive,Yes,Top Right,Survey,Ambiguous
Floating Box,Thin,Page Load,Intrusive,No,Center,Reminder,Ambiguous
Fullscreen,Large,Click,Modern,Yes,Center,Offer,Well-Defined
Fullscreen,Medium,Exit Intent,Clean,No,Full Page,Offer,Well-Defined
Notification Bar,Medium,Hover,Clean,Yes,Bottom,Discount,Less Well-Defined
Banner,Medium,On Load,Flat,No,Bottom Left,Newsletter,Ambiguous
Banner,Medium,Click,Bold,Yes,Center,Recommendation,Less Well-Defined
Notification Bar,Small,Hover,Bold,Yes,Top Left,Discount,Less Well-Defined
Dialog,Large,Exit Intent,Modern,No,Top,Offer,Well-Defined
Slide-in,Medium,Timer,Simple,Yes,Bottom,Newsletter,Less Well-Defined
Notification Bar,Small,On Load,Bold,No,Top Left,Help,Less Well-Defined
Tooltip,Thin,Hover,Intrusive,Yes,Top,Reminder,Ambiguous
Slide-in,Medium,Hover,Flat,Yes,Bottom,Help,Less Well-Defined
Tooltip,Small,Hover,Intrusive,Yes,Top,Survey,Ambiguous
Tooltip,Thin,Page Load,Intrusive,No,Top Right,Reminder,Ambiguous
Exit Popup,Medium,Timer,Intrusive,Yes,Top Right,Help,Ambiguous
Banner,Medium,Hover,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Small,Hover,Basic,No,Top Right,Survey,Ambiguous
Fullscreen,Medium,Exit Intent,Modern,Yes,Center,Recommendation,Well-Defined
Notification Bar,Medium,Timer,Simple,No,Top Left,Offer,Less Well-Defined
Banner,Medium,Timer,Flat,No,Top Left,Offer,Less Well-Defined
Banner,Medium,Timer,Clean,Yes,Bottom,Discount,Less Well-Defined
Dialog,Medium,Timer,Bold,Yes,Top Left,Offer,Less Well-Defined
Banner,Small,Hover,Clean,Yes,Top Left,Offer,Less Well-Defined
Dialog,Large,Exit Intent,Bold,Yes,Bottom Right,Alert,Well-Defined
Banner,Medium,Timer,Flat,Yes,Bottom,Offer,Less Well-Defined
Fullscreen,Large,Click,Clean,No,Full Page,Alert,Well-Defined
Tooltip,Thin,Hover,Intrusive,No,Top Right,Survey,Ambiguous
Notification Bar,Medium,Timer,Clean,No,Bottom,Discount,Less Well-Defined
Floating Box,Thin,Hover,Aggressive,Yes,Center,Reminder,Ambiguous
Slide-in,Small,Timer,Flat,Yes,Top Left,Discount,Less Well-Defined
Slide-in,Medium,Timer,Bold,No,Bottom Left,Discount,Less Well-Defined
Dialog,Medium,On Load,Clean,No,Top Left,Newsletter,Well-Defined
Slide-in,Thin,Page Load,Basic,No,Top Right,Reminder,Ambiguous
Modal,Medium,Exit Intent,Bold,Yes,Full Page,Recommendation,Well-Defined
Dialog,Large,On Load,Modern,No,Full Page,Ad,Well-Defined
Banner,Medium,Click,Clean,No,Top,Recommendation,Less Well-Defined
Banner,Medium,Timer,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Dialog,Small,Hover,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Tooltip,Medium,Timer,Intrusive,No,Top,Reminder,Ambiguous
Dialog,Medium,Click,Bold,Yes,Center,Recommendation,Well-Defined
Notification Bar,Medium,Hover,Flat,No,Top Left,Offer,Less Well-Defined
Fullscreen,Large,Click,Modern,No,Full Page,Offer,Well-Defined
Exit Popup,Thin,Page Load,Basic,Yes,Top,Survey,Ambiguous
Dialog,Medium,On Load,Modern,No,Full Page,Alert,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top,Help,Ambiguous
Banner,Medium,Hover,Bold,No,Bottom Left,Offer,Less Well-Defined
Fullscreen,Large,Exit Intent,Clean,Yes,Full Page,Alert,Well-Defined
Dialog,Large,On Load,Bold,No,Center,Recommendation,Well-Defined
Tooltip,Small,Page Load,Intrusive,Yes,Top Right,Help,Ambiguous
Slide-in,Small,On Load,Flat,Yes,Top Left,Discount,Less Well-Defined
Banner,Medium,Timer,Flat,Yes,Top Left,Discount,Less Well-Defined
Slide-in,Medium,Timer,Simple,No,Top Left,Discount,Less Well-Defined
Modal,Large,Scroll,Soft,Yes,Bottom Right,Recommendation,Well-Defined
Exit Popup,Small,Timer,Flat,Yes,Center,Ad,Ambiguous
Banner,Medium,Click,Clean,Yes,Full Page,Recommendation,Ambiguous
Dialog,Medium,Click,Modern,No,Full Page,Ad,Well-Defined
Banner,Medium,On Load,Simple,No,Top Left,Discount,Less Well-Defined
Dialog,Small,Timer,Clean,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Thin,Hover,Basic,Yes,Top,Ad,Ambiguous
Fullscreen,Large,Scroll,Soft,Yes,Full Page,Ad,Well-Defined
Slide-in,Medium,On Load,Simple,Yes,Bottom Left,Newsletter,Less Well-Defined
Fullscreen,Large,Scroll,Modern,Yes,Bottom Right,Ad,Well-Defined
Dialog,Medium,Exit Intent,Bold,Yes,Bottom Right,Offer,Well-Defined
Banner,Medium,Timer,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Tooltip,Small,Page Load,Aggressive,No,Top Right,Reminder,Ambiguous
Fullscreen,Large,Click,Soft,No,Center,Offer,Well-Defined
Banner,Small,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Dialog,Medium,Exit Intent,Modern,Yes,Center,Ad,Well-Defined
Modal,Large,Exit Intent,Bold,Yes,Top,Offer,Well-Defined
Tooltip,Thin,Page Load,Aggressive,Yes,Top,Help,Ambiguous
Dialog,Medium,Scroll,Modern,No,Center,Recommendation,Well-Defined
Exit Popup,Small,Hover,Aggressive,No,Top,Help,Ambiguous
Modal,Medium,Scroll,Soft,No,Full Page,Ad,Well-Defined
Dialog,Medium,Hover,Bold,No,Top Left,Discount,Less Well-Defined
Notification Bar,Medium,On Load,Flat,No,Bottom Left,Help,Less Well-Defined
Dialog,Large,Scroll,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Notification Bar,Small,Timer,Flat,No,Top Left,Newsletter,Less Well-Defined
Notification Bar,Small,Timer,Simple,Yes,Top Left,Discount,Less Well-Defined
Fullscreen,Medium,Click,Soft,No,Bottom Right,Ad,Well-Defined
Fullscreen,Medium,Scroll,Clean,Yes,Full Page,Ad,Well-Defined
Floating Box,Small,Page Load,Basic,No,Top,Survey,Ambiguous
Notification Bar,Medium,On Load,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Fullscreen,Medium,Click,Modern,No,Center,Recommendation,Ambiguous
Floating Box,Thin,Hover,Intrusive,No,Top Right,Help,Ambiguous
Floating Box,Thin,Page Load,Aggressive,No,Top,Help,Ambiguous
Floating Box,Medium,Hover,Intrusive,Yes,Top Right,Help,Ambiguous
Slide-in,Small,Timer,Basic,No,Top,Survey,Ambiguous
Dialog,Large,Exit Intent,Clean,Yes,Full Page,Recommendation,Well-Defined
Banner,Medium,Timer,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Small,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Floating Box,Thin,Hover,Intrusive,Yes,Top,Survey,Ambiguous
Modal,Large,Click,Soft,Yes,Bottom Right,Alert,Well-Defined
Floating Box,Medium,Page Load,Flat,Yes,Top Right,Survey,Ambiguous
Dialog,Large,Exit Intent,Soft,Yes,Full Page,Ad,Well-Defined
Dialog,Small,On Load,Clean,Yes,Top Left,Offer,Less Well-Defined
Dialog,Small,Hover,Flat,Yes,Bottom,Newsletter,Less Well-Defined
Tooltip,Thin,Hover,Aggressive,Yes,Top,Survey,Ambiguous
Slide-in,Medium,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Dialog,Large,Scroll,Soft,No,Center,Alert,Well-Defined
Slide-in,Medium,Hover,Flat,Yes,Top Right,Survey,Ambiguous
Dialog,Medium,Timer,Bold,Yes,Bottom,Offer,Less Well-Defined
Fullscreen,Medium,Scroll,Soft,Yes,Center,Recommendation,Well-Defined
Slide-in,Small,Timer,Bold,Yes,Bottom,Help,Less Well-Defined
